paus tombak;paus;Balaenoptera acutorostrata
paus minke antartika;paus;Balaenoptera bonaerensis
paus sei;paus;Balaenoptera borealis
paus edeni;paus;Balaenoptera edeni
paus biru;paus;Balaenoptera musculus
paus omura;paus;Balaenoptera omurai
paus bongkok;paus;Megaptera novaeangliae
banteng;banteng;Bos javanicus
anoa dataran rendah;anoa;Bubalus depressicornis
anoa gunung;anoa;Bubalus quarlesi
kambing hutan sumatera;kambing;Capricornis sumatraensis
anjing ajag;anjing;Cuon alpinus
monyet darre;monyet;Macaca maura
monyet yaki;monyet;Macaca nigra
monyet digo;monyet;Macaca ochreata
beruk mentawai;beruk;Macaca pagensis
monyet boti;monyet;Macaca tonkeana
bekantan;bekantan;Nasalis larvatus
lutung surili;lutung;Presbytis comata
lutung jirangan;lutung;Presbytis frontata
lutung simpai;lutung;Presbytis melalophos
kekah;kekah;Presbytis natunae
lutung joja;lutung;Presbytis potenziani
lutung merah;lutung;Presbytis rubicunda
lutung kedih;lutung;Presbytis thomasi
lutung simakobu;lutung;Simias concolor
lutung budeng;lutung;Trachypithecus auratus
lutung kelabu;lutung;Trachypithecus cristatus
rusa bawean;rusa;Axis kuhlii
kijang muncak;kijang;Muntiacus muntjak
kijang kuning;kijang;Muntiacus atherodes
rusa timor;rusa;Rusa timorensis
rusa sambar;rusa;Rusa unicolor
lumba lumba moncong panjang;lumba;Delphinus capensis
paus pemangsa kerdil;paus;Feresa attenuata
paus pilot bersirip pendek;paus;Globicephala macrorhynchus
lumba-lumba risso;lumba-lumba;Grampus griseus
lumba-lumba fraser;lumba-lumba;Lagenodelphis hosei
pesut mahakam;pesut;Orcaella brevirostris
paus pembunuh;paus;Orcinus orca
paus seguni;paus;Orcinus orca
paus kepala melon;paus;Peponocephala electra
paus pemangsa palsu;paus;Pseudorca crassidens
lumba-lumba bongkok;lumba-lumba;Sousa chinensis
lumba-lumba totol;lumba-lumba;Stenella attenuata
lumba-lumba garis;lumba-lumba;Stenella coeruleoalba
lumba-lumba moncong panjang;lumba-lumba;Stenella longirostris
lumba-lumba gigi kasar;lumba-lumba;Steno bredanensis
lumba-lumba hidung botol indopasifik;lumba-lumba;Tursiops aduncus
lumba-lumba hidung botol;lumba-lumba;Tursiops truncatus
duyung;duyung;Dugong dugon
gajah asia;gajah;Elephas maximus
kucing merah;kucing;Catopuma badia
kucing emas;kucing;Catopuma temminckii
macan dahan;macan;Neofelis diardi
harimau tutul;harimau;Panthera pardus melas
macan tutul;harimau;Panthera pardus melas
harimau sumatera;harimau;Panthera tigris sumatrae
kucing batu;kucing;Pardofelis marmorata
kucing kuwuk;kucing;Prionailurus bengalensis
kucing tandang;kucing;Prionailurus planiceps
kucing bakau;kucing;Prionailurus viverrinus
orangutan sumatera;orangutan;Pongo abelii
mawas sumatera;mawas;Pongo abelii
orangutan kalimantan;orangutan;Pongo pygmaeus
mawas kalimantan;mawas;Pongo pygmaeus
mawas tapanuli;mawas;Pongo tapanuliensis
orangutan;mawas;Pongo tapanuliensis
orangutan tapanuli;orangutan;Pongo tapanuliensis
owa ungko;owa;Hylobates agilis
owa jenggot putih;owa;Hylobates albibarbis
owa bilau;owa;Hylobates klosii
owa serudung;owa;Hylobates lar
owa jawa;owa;Hylobates moloch
owa kalawat;owa;Hylobates muelleri
owa siamang;owa;Symphalangus syndactylus
landak jawa;landak;Hystrix javanica
kelinci sumatera;kelinci;Nesolagus netscheri
kukang;kukang;Nycticebus coucang
kukang jawa;kukang;Nycticebus javanicus
kukang kalimantan;kukang;Nycticebus menagensis
kangguru pohon ndomea;kangguru;Dendrolagus dorianus
kangguru pohon hias;kangguru;Dendrolagus goodfellowi
kangguru pohon wakera;kangguru;Dendrolagus inustus
kangguru pohon mbaiso;kangguru;Dendrolagus mbaiso
kangguru pohon nemena;kangguru;Dendrolagus ursinus
pelandu nugini;pelandu;Thylogale browni
pelandu aru;pelandu;Thylogale brunii
pelandu merah;pelandu;Thylogale stigmatica
trenggiling;trenggiling;Manis javanica
sigung sumatera;sigung;Arctonyx collaris
berang-berang pantai;berang-berang;Lutra lutra
berang-berang gunung;berang-berang;Lutra sumatrana
berang-berang wregul;berang-berang;Lutrogale perspicillata
kuskus talaud;kuskus;Ailurops melanotis
kuskus gebe;kuskus;Phalanger alexandrae
kuskus gunung;kuskus;Phalanger carmelitae
kuskus guannal;kuskus;Phalanger gymnotis
kuskus selatan;kuskus;Phalanger intercastellanus
kuskus matabiru;kuskus;Phalanger matabiru
kuskus obi;kuskus;Phalanger rothschildi
kuskus yaben;kuskus;Phalanger sericeus
kuskus siku putih;kuskus;Phalanger vestitus
kuskus pontai;kuskus;Spilocuscus maculatus
kuskus scham-scham;kuskus;Spilocuscus papuensis
kuskus bohai;kuskus;Spilocuscus rufoniger
kuskus tembung;kuskus;Strigocuscus celebensis
kuskus peleng;kuskus;Strigocuscus pelengensis
lumba-lumba hitam tak bersirip;lumba-lumba;Neophocaena phocaenoides
paus lodan kecil jauba;paus;Kogia breviceps
paus lodan kecil;paus;Kogia sima
paus sperma;paus;Physeter macrocephalus
musang lingsang;musang;Prionodon linsang
codot talaud;codot;Acerodon humilis
codot gigi kecil;codot;Neopteryx frosti
kalong talaud;kalong;Pteropus pumilus
badak sumatera;badak;Dicerorhinus sumatrensis
badak jawa;badak;Rhinoceros sondaicus
cukbo ekor merah;cukbo;Iomys horsfieldi
bokol borneo;bokol;Lariscus hosei
babirusa tualangio;babirusa;Babyrousa babyrussa
nokdiak moncong pendek;nokdiak;Tachyglossus aculeatus
nokdiak moncong panjang;nokdiak;Zaglossus bruijni
tapir tenuk;tapir;Tapirus indicus
krabuku ingkat;krabuku;Tarsius bancanus
krabuku diana;krabuku;Tarsius dentatus
tarsius lariang;tarsius;Tarsius lariang
krabuku peleng;krabuku;Tarsius pelengensis
krabuku kecil;krabuku;Tarsius pumilus
krabuku sangihe;krabuku;Tarsius sangirensis
krabuku tangkasi;krabuku;Tarsius tarsier
tarsius siau;tarsius;Tarsius tumpara
pelanduk kancil;pelanduk;Tragulus javanicus
kancil kecil;kancil;Tragulus kanchil
pelanduk napu;pelanduk;Tragulus napu
beruang madu;beruang;Helarctos malayanus
binturong;binturong;Arctictis binturong
musang air;musang;Cynogale bennettii
musang sulawesi;musang;Macrogalidia musschenbroekii
paus hidung botol;paus;Indopacetus pacificus
paus paruh blainville;paus;Mesoplodon densirostris
paus paruh bergigi ginkgo;paus;Mesoplodon ginkgodens
paus paruh angsa;paus;Ziphius cavirostris
elangalap shikra;elangalap;Accipiter badius
elangalap kalung;elangalap;Accipiter cirrocephalus
elangalap maluku;elangalap;Accipiter erythrauchen
elangalap coklat;elangalap;Accipiter fasciatus
elangalap kepala-kelabu;elangalap;Accipiter griseiceps
elangalap nipon;elangalap;Accipiter gularis
elangalap halmahera;elangalap;Accipiter henicogrammus
elangalap kelabu;elangalap;Accipiter hiogaster
elangalap mantel-hitam;elangalap;Accipiter melanochlamys
elangalap meyer;elangalap;Accipiter meyerianus
elangalap kecil;elangalap;Accipiter nanus
elangalap eurasia;elangalap;Accipiter nisus
elangalap pucat-sosonokan;elangalap;Accipiter poliocephalus
elangalap dada-merah;elangalap;Accipiter rhodogaster
elangalap p cina;elangalap;Accipiter soloensis
elangalap tenggara;elangalap;Accipiter sylvestris
elangalap ekor-totol;elangalap;Accipiter trinotatus
elangalap jambul;elangalap;Accipiter trivirgatus
elangalap besra;elangalap;Accipiter virgatus
rajawali ekor-baji;rajawali;Aquila audax
elang bonelli;elang;Aquila fasciata
rajawali kuskus;rajawali;Aquila gurneyi
baza jerdon;baza;Aviceda jerdoni
baza hitam;baza;Aviceda leuphotes
baza pasifik;baza;Aviceda subcristata
elang kelabu;elang;Butastur indicus
elang sayap-coklat;elang;Butastur liventer
elang mata putih;elang;Butastur teesa
elang buteo;elang;Buteo japonicus
elangular jari-pendek;elangular;Circaetus gallicus
elangrawa katak;elangrawa;Circus aeruginosus
elangrawa coklat;elangrawa;Circus approximans
elangrawa tutul;elangrawa;Circus assimilis
elangrawa tangling;elangrawa;Circus melanoleucos
elangrawa timur;elangrawa;Circus spilonotus
elangrawa papua;elangrawa;Circus spilothorax
rajawali totol;rajawali;Clanga clanga
elang tikus;elang;Elanus caeruleus
elangalap bahu coklat;elangalap;Erythrotriorchis buergersi
nasar himalaya;nasar;Gyps himalayensis
elanglaut perut-putih;elanglaut;Haliaeetus leucogaster
elang bondol;elang;Haliastur indus
elang siul;elang;Haliastur sphenurus
rajawali papua;rajawali;Harpyopsis novaeguineae
elang ekor-panjang;elang;Henicopernis longicauda
elang setiwel;elang;Hieraaetus pennatus
elang kecil;elang;Hieraaetus weiskei
elangikan kecil;elangikan;Ichthyophaga humilis
elangikan kepala-kelabu;elangikan;Ichthyophaga ichthyaetus
elang hitam;elang;Ictinaetus malaiensis
elang perut-karat;elang;Lophotriorchis kienerii
elang kelelawar;elang;Macheiramphus alcinus
elangalap doria;elangalap;Megatriorchis doriae
elang paria;elang;Milvus migrans
elang gunung;elang;Nisaetus alboniger
elang jawa;elang;Nisaetus bartelsi
elang brontok;elang;Nisaetus cirrhatus
elang flores;elang;Nisaetus floris
elang sulawesi;elang;Nisaetus lanceolatus
elang wallace;elang;Nisaetus nanus
elang tiram;elang;Pandion haliaetus
sikepmadu sulawesi;sikepmadu;Pernis celebensis
sikepmadu asia;sikepmadu;Pernis ptilorhynchus
elangular bido;elangular;Spilornis cheela
elangular kinabalu;elangular;Spilornis kinabaluensis
elangular sulawesi;elangular;Spilornis rufipectus
cerecet jawa;cerecet;Psaltria exilis
cekakak hutan kepala-hitam;cekakak;Actenoides capucinus
cekakak hutan melayu;cekakak;Actenoides concretus
cekakak hutan tunggir-hijau;cekakak;Actenoides monachus
cekakak hutan dada-sisik;cekakak;Actenoides princeps
rajaudang kalung-biru jawa;rajaudang;Alcedo euryzona
rajaudang kalung-biru sumatera;rajaudang;Alcedo peninsulae
cekakak tunggir-putih;cekakak;Caridonax fulgidus
rajaudang sangihe;rajaudang;Ceyx sangirensis
kukabura aru;kukabura;Dacelo tyro
cekakakpita numfor;cekakakpita;Tanysiptera carolinae
cekakakpita kofiau;cekakakpita;Tanysiptera ellioti
cekakakpita biak;cekakakpita;Tanysiptera riedelii
cekakak kalung-coklat;cekakak;Todirhamphus australasia
cekakak talaud;cekakak;Todirhamphus enigma
cekakak murung;cekakak;Todirhamphus funebris
cekakak lazuli;cekakak;Todirhamphus lazuli
cekakak pantai;cekakak;Todirhamphus saurophagus
boha wasur;boha;Anseranas semipalmata
mentok rimba;mentok;Cairina scutulata
trutu hijau;trutu;Nettapus coromandelianus
itik gunung;itik;Salvadorina waigiuensis
walet gunung;walet;Aerodramus vulcanorum
walet raksasa;walet;Hydrochous gigas
cangak besar;cangak;Ardea alba
cangak laut;cangak;Ardea sumatrana
blekok cina;blekok;Ardeola bacchus
kuntul cina;kuntul;Egretta eulophotes
kuntul australia;kuntul;Egretta novaehollandiae
kuntul belang;kuntul;Egretta picata
kowak jepang;kowak;Gorsachius goisagi
kowak melayu;kowak;Gorsachius melanolophus
bambangan coklat;bambangan;Ixobrychus eurhythmus
bambangan hitam;bambangan;Ixobrychus flavicollis
kowakmalam merah;kowakmalam;Nycticorax caledonicus
bambangan rimba;bambangan;Zonerodius heliosylus
enggang klihingan;enggang;Anorrhinus galeritus
kangkareng perut-putih;kangkareng;Anthracoceros albirostris
kangkareng hitam;kangkareng;Anthracoceros malayanus
enggang jambul;enggang;Berenicornis comatus
enggang papan;enggang;Buceros bicornis
enggang cula;enggang;Buceros rhinoceros
julang jambul-hitam;julang;Rhabdotorrhinus corrugatus
kangkareng sulawesi;kangkareng;Rhabdotorrhinus exarhatus
rangkong gading;rangkong;Rhinoplax vigil
julang sulawesi;julang;Rhyticeros cassidix
julang sumba;julang;Rhyticeros everetti
julang irian;julang;Rhyticeros plicatus
julang emas;julang;Rhyticeros undulatus
wili-wili semak;wili-wili;Burhinus grallarius
wili-wili besar;wili-wili;Esacus magnirostris
kakatua putih;kakatua;Cacatua alba
kakatua koki;kakatua;Cacatua galerita
kakatua tanimbar;kakatua;Cacatua goffiniana
kakatua maluku;kakatua;Cacatua moluccensis
kakatua rawa;kakatua;Cacatua sanguiena
kakatua jambul-kuning;kakatua;Cacatua sulphurea
kakatua raja;kakatua;Probosciger aterrimus
takur ampis-kalimantan;takur;Calorhamphus fuliginosus
takur ampis-sumatera;takur;Caloramphus hayii
takur tohtor;takur;Psilopogon armillaris
takur gedang;takur;Psilopogon chrysopogon
takur bututut;takur;Psilopogon corvinus
takur leher-hitam;takur;Psilopogon eximius
takur topi-merah;takur;Psilopogon henricii
takur tulung-tumpuk;takur;Psilopogon javensis
takur bultok;takur;Psilopogon lineatus
takur gunung;takur;Psilopogon monticola
takur warna-warni;takur;Psilopogon mystacophanos
takur bukit;takur;Psilopogon oorti
takur tengkuk-emas;takur;Psilopogon pulcherrimus
takur api;takur;Psilopogon pyrolophus
takur tutut;takur;Psilopogon rafflesii
cabak kolong;cabak;Caprimulgus concretus
taktarau iblis;taktarau;Eurostopodus diabolicus
kasuari kerdil;kasuari;Casuarius bennetti
kasuari gelambir-ganda;kasuari;Casuarius casuarius
kasuari gelambir-tunggal;kasuari;Casuarius unappendiculatus
cerek tilil;cerek;Charadrius alexandrinus
cerek jawa;cerek;Charadrius javanicus
cerek paruh-panjang;cerek;Charadrius placidus
cerek topi-merah;cerek;Charadrius ruficapillus
cerek asia;cerek;Charadrius veredus
cerek lutut-merah;cerek;Erythrogonys cinctus
trulek gelambir-merah;trulek;Vanellus indicus
trulek kelabu;trulek;Vanellus cinereus
trulek jawa;trulek;Vanellus macropterus
trulek topeng;trulek;Vanellus miles
cica daun dahi-emas;cica;Chloropsis media
cica daun sayap-biru;cica;Chloropsis cochinchinensis
cica daun sayap-biru kalimantan;cica;Chloropsis kinabaluensis
cica daun sayap-biru sumatera;cica;Chloropsis moluccensis
cica daun Kecil;cica;Chloropsis cyanopogon
cica daun besar;cica;Chloropsis sonnerati
cica daun sumatera;cica;Chloropsis venusta
bangau sandang-lawe;bangau;Ciconia episcopus
bangau storm;bangau;Ciconia stormi
bangau leher-hitam;bangau;Ephippiorhynchus asiaticus
bangau tongtong;bangau;Leptoptilos javanicus
bangau bluwok;bangau;Mycteria cinerea
cenderawasih loria;cenderawasih;Cnemophilus loriae
cenderawasih jambul;cenderawasih;Cnemophilus sanguineus
cenderawasih sutera;cenderawasih;Loboparadisea sericea
junai emas;junai;Caloenas nicobarica
merpatihutan perak;merpatihutan;Columba argentina
delimukan wetar;delimukan;Gallicolumba hoedtii
mambruk ubiaat;mambruk;Goura cristata
mambruk selatan;mambruk;Goura sclaterii
mambruk victoria;mambruk;Goura victoria
walik rawa-manu;walik;Ptilinopus dohertyi
walik benjol;walik;Ptilinopus granulifrons
punai timor;punai;Treron psittaceus
punai sumba;punai;Treron teysmannii
ekek layongan;ekek;Cissa chinensis
ekek geling;ekek;Cissa thalassina
gagak flores;gagak;Corvus florensis
gagak kepala-coklat;gagak;Corvus fuscicapillus
gagak orru;gagak;Corvus orru
gagak rumah;gagak;Corvus splendens
gagak kelabu;gagak;Corvus tristis
gagak sulawesi;gagak;Corvus typicus
gagak banggai;gagak;Corvus unicolor
gagak halmahera;gagak;Corvus validus
tangkar centrong;tangkar;Crypsirina temia
tangkaruli kalimantan;tangkaruli;Dendrocitta cinerascens
tangkaruli sumatera;tangkaruli;Dendrocitta occipitalis
tangkar ongklet;tangkar;Platylophus galericulatus
tangkar kambing;tangkar;Platysmurus leucopterus
tokhtor sumatra;tokhtor;Carpococcyx viridis
bubut jawa;bubut;Centropus nigrorufus
bubut teragop;bubut;Centropus rectunguis
bubutpacar jambul;bubutpacar;Clamator coromandus
kangkok sulawesi;kangkok;Cuculus crassirostris
bondol arfak;bondol;Lonchura vana
gelatik jawa;gelatik;Lonchura oryzivora
alap-alap coklat;alap-alap;Falco berigora
alap-alap layang;alap-alap;Falco cenchroides
alap-alap australia;alap-alap;Falco longipennis
alap-alap sapi;alap-alap;Falco moluccensis
alap-alap kawah;alap-alap;Falco peregrinus
alap-alap macan;alap-alap;Falco severus
alap-alap walet;alap-alap;Falco subbuteo
alap-alap erasia;alap-alap;Falco tinnunculus
alap-alap capung;alap-alap;Microhierax fringillarius
alap-alap dahi putih;alap-alap;Microhierax latifrons
cikalang christmas;cikalang;Fregata andrewsi
